日期,时间,小区编号,上行业务量GB,下行业务量GB
2018/4/20,00:00:00,186,,
2018/4/20,01:00:00,186,,
2018/4/20,02:00:00,186,,
2018/4/20,03:00:00,186,,
2018/4/20,04:00:00,186,,
2018/4/20,05:00:00,186,,
2018/4/20,06:00:00,186,,
2018/4/20,07:00:00,186,,
2018/4/20,08:00:00,186,,
2018/4/20,09:00:00,186,,
2018/4/20,10:00:00,186,,
2018/4/20,11:00:00,186,,
2018/4/20,12:00:00,186,,
2018/4/20,13:00:00,186,,
2018/4/20,14:00:00,186,,
2018/4/20,15:00:00,186,,
2018/4/20,16:00:00,186,,
2018/4/20,17:00:00,186,,
2018/4/20,18:00:00,186,,
2018/4/20,19:00:00,186,,
2018/4/20,20:00:00,186,,
2018/4/20,21:00:00,186,,
2018/4/20,22:00:00,186,,
2018/4/20,23:00:00,186,,
2018/4/21,00:00:00,186,,
2018/4/21,01:00:00,186,,
2018/4/21,02:00:00,186,,
2018/4/21,03:00:00,186,,
2018/4/21,04:00:00,186,,
2018/4/21,05:00:00,186,,
2018/4/21,06:00:00,186,,
2018/4/21,07:00:00,186,,
2018/4/21,08:00:00,186,,
2018/4/21,09:00:00,186,,
2018/4/21,10:00:00,186,,
2018/4/21,11:00:00,186,,
2018/4/21,12:00:00,186,,
2018/4/21,13:00:00,186,,
2018/4/21,14:00:00,186,,
2018/4/21,15:00:00,186,,
2018/4/21,16:00:00,186,,
2018/4/21,17:00:00,186,,
2018/4/21,18:00:00,186,,
2018/4/21,19:00:00,186,,
2018/4/21,20:00:00,186,,
2018/4/21,21:00:00,186,,
2018/4/21,22:00:00,186,,
2018/4/21,23:00:00,186,,
2018/4/22,00:00:00,186,,
2018/4/22,01:00:00,186,,
2018/4/22,02:00:00,186,,
2018/4/22,03:00:00,186,,
2018/4/22,04:00:00,186,,
2018/4/22,05:00:00,186,,
2018/4/22,06:00:00,186,,
2018/4/22,07:00:00,186,,
2018/4/22,08:00:00,186,,
2018/4/22,09:00:00,186,,
2018/4/22,10:00:00,186,,
2018/4/22,11:00:00,186,,
2018/4/22,12:00:00,186,,
2018/4/22,13:00:00,186,,
2018/4/22,14:00:00,186,,
2018/4/22,15:00:00,186,,
2018/4/22,16:00:00,186,,
2018/4/22,17:00:00,186,,
2018/4/22,18:00:00,186,,
2018/4/22,19:00:00,186,,
2018/4/22,20:00:00,186,,
2018/4/22,21:00:00,186,,
2018/4/22,22:00:00,186,,
2018/4/22,23:00:00,186,,
2018/4/23,00:00:00,186,,
2018/4/23,01:00:00,186,,
2018/4/23,02:00:00,186,,
2018/4/23,03:00:00,186,,
2018/4/23,04:00:00,186,,
2018/4/23,05:00:00,186,,
2018/4/23,06:00:00,186,,
2018/4/23,07:00:00,186,,
2018/4/23,08:00:00,186,,
2018/4/23,09:00:00,186,,
2018/4/23,10:00:00,186,,
2018/4/23,11:00:00,186,,
2018/4/23,12:00:00,186,,
2018/4/23,13:00:00,186,,
2018/4/23,14:00:00,186,,
2018/4/23,15:00:00,186,,
2018/4/23,16:00:00,186,,
2018/4/23,17:00:00,186,,
2018/4/23,18:00:00,186,,
2018/4/23,19:00:00,186,,
2018/4/23,20:00:00,186,,
2018/4/23,21:00:00,186,,
2018/4/23,22:00:00,186,,
2018/4/23,23:00:00,186,,
2018/4/24,00:00:00,186,,
2018/4/24,01:00:00,186,,
2018/4/24,02:00:00,186,,
2018/4/24,03:00:00,186,,
2018/4/24,04:00:00,186,,
2018/4/24,05:00:00,186,,
2018/4/24,06:00:00,186,,
2018/4/24,07:00:00,186,,
2018/4/24,08:00:00,186,,
2018/4/24,09:00:00,186,,
2018/4/24,10:00:00,186,,
2018/4/24,11:00:00,186,,
2018/4/24,12:00:00,186,,
2018/4/24,13:00:00,186,,
2018/4/24,14:00:00,186,,
2018/4/24,15:00:00,186,,
2018/4/24,16:00:00,186,,
2018/4/24,17:00:00,186,,
2018/4/24,18:00:00,186,,
2018/4/24,19:00:00,186,,
2018/4/24,20:00:00,186,,
2018/4/24,21:00:00,186,,
2018/4/24,22:00:00,186,,
2018/4/24,23:00:00,186,,
2018/4/25,00:00:00,186,,
2018/4/25,01:00:00,186,,
2018/4/25,02:00:00,186,,
2018/4/25,03:00:00,186,,
2018/4/25,04:00:00,186,,
2018/4/25,05:00:00,186,,
2018/4/25,06:00:00,186,,
2018/4/25,07:00:00,186,,
2018/4/25,08:00:00,186,,
2018/4/25,09:00:00,186,,
2018/4/25,10:00:00,186,,
2018/4/25,11:00:00,186,,
2018/4/25,12:00:00,186,,
2018/4/25,13:00:00,186,,
2018/4/25,14:00:00,186,,
2018/4/25,15:00:00,186,,
2018/4/25,16:00:00,186,,
2018/4/25,17:00:00,186,,
2018/4/25,18:00:00,186,,
2018/4/25,19:00:00,186,,
2018/4/25,20:00:00,186,,
2018/4/25,21:00:00,186,,
2018/4/25,22:00:00,186,,
2018/4/25,23:00:00,186,,
2018/4/26,00:00:00,186,,
2018/4/26,01:00:00,186,,
2018/4/26,02:00:00,186,,
2018/4/26,03:00:00,186,,
2018/4/26,04:00:00,186,,
2018/4/26,05:00:00,186,,
2018/4/26,06:00:00,186,,
2018/4/26,07:00:00,186,,
2018/4/26,08:00:00,186,,
2018/4/26,09:00:00,186,,
2018/4/26,10:00:00,186,,
2018/4/26,11:00:00,186,,
2018/4/26,12:00:00,186,,
2018/4/26,13:00:00,186,,
2018/4/26,14:00:00,186,,
2018/4/26,15:00:00,186,,
2018/4/26,16:00:00,186,,
2018/4/26,17:00:00,186,,
2018/4/26,18:00:00,186,,
2018/4/26,19:00:00,186,,
2018/4/26,20:00:00,186,,
2018/4/26,21:00:00,186,,
2018/4/26,22:00:00,186,,
2018/4/26,23:00:00,186,,
